pair_ID	sentence_A	sentence_B	entailment_label	relatedness_score	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set
4608	Een man rijdt in een auto	Er is geen man die een auto bestuurt	CONTRADICTION	3.3	A_contradicts_B	B_contradicts_A	A man is driving a car	There is no man driving a car	SEMEVAL	SEMEVAL	TEST
4611	Een man rijdt in een auto	Een man bestuurt een voertuig	ENTAILMENT	4.7	A_entails_B	B_neutral_A	A man is driving a car	A man is driving a vehicle	SEMEVAL	SEMEVAL	TRAIN
4613	Een auto wordt bestuurd door een man	Een man rijdt in een auto	ENTAILMENT	4.9	A_entails_B	B_entails_A	A car is being driven by a man	A man is driving a car	SEMEVAL	SEMEVAL	TEST
4616	Een jongen knipt gras met een schaar	Een kind maait gras met een schaar	ENTAILMENT	4.5	A_entails_B	B_neutral_A	A boy is cutting grass with scissors	A kid is cutting grass with scissors	SEMEVAL	SEMEVAL	TRAIN
4617	Er is geen jongen die gras maait met een schaar	Een jongen knipt gras met een schaar	CONTRADICTION	3.5	A_contradicts_B	B_contradicts_A	There is no boy cutting grass with scissors	A boy is cutting grass with scissors	SEMEVAL	SEMEVAL	TRAIN
4618	De jongen snijdt het gras bij de stoep met een schaar	De jongen is het gras aan het inkorten bij de stoep met een schaar	ENTAILMENT	4.8	A_entails_B	B_entails_A	The boy is cutting the grass by the curb with scissors	The boy is shortening the grass by the curb with scissors	SEMEVAL	SEMEVAL	TEST
4619	De jongen snijdt het gras bij de stoep met een schaar	De jongen is niet het gras bij de stoeprand met een schaar aan het maaien	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	The boy is cutting the grass by the curb with scissors	The boy is not cutting the grass by the curb with scissors	SEMEVAL	SEMEVAL	TRAIN
4620	De jongen is het gras aan het inkorten bij de stoep met een schaar	Een jongen knipt gras met een schaar	ENTAILMENT	4.5	A_entails_B	B_neutral_A	The boy is shortening the grass by the curb with scissors	A boy is cutting grass with scissors	SEMEVAL	SEMEVAL	TEST
4621	De jongen is niet het gras bij de stoeprand met een schaar aan het maaien	Een jongen knipt gras met een schaar	NEUTRAL	4	A_contradicts_B	B_neutral_A	The boy is not cutting the grass by the curb with scissors	A boy is cutting grass with scissors	SEMEVAL	SEMEVAL	TEST
4622	De jongen snijdt het gras bij de stoep met een schaar	Een kind maait gras met een schaar	ENTAILMENT	4.4	A_entails_B	B_neutral_A	The boy is cutting the grass by the curb with scissors	A kid is cutting grass with scissors	SEMEVAL	SEMEVAL	TEST
4623	De jongen snijdt het gras bij de stoep met een schaar	Er is geen jongen die gras maait met een schaar	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	The boy is cutting the grass by the curb with scissors	There is no boy cutting grass with scissors	SEMEVAL	SEMEVAL	TEST
4624	De jongen snijdt het gras bij de stoep met een schaar	Een jongen knipt gras met een schaar	ENTAILMENT	4.6	A_entails_B	B_neutral_A	The boy is cutting the grass by the curb with scissors	A boy is cutting grass with scissors	SEMEVAL	SEMEVAL	TEST
4625	Een viool wordt bespeeld door een man	Een man speelt viool	ENTAILMENT	5	A_entails_B	B_entails_A	A violin is being played by a man	A man is playing a violin	SEMEVAL	SEMEVAL	TEST
4626	Een man speelt viool	Er is geen man die viool speelt	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	A man is playing a violin	There is no man playing a violin	SEMEVAL	SEMEVAL	TRAIN
4627	De baby lacht en kruipt	De baby lacht en kuiert	NEUTRAL	4.2	A_neutral_B	B_neutral_A	The baby is laughing and crawling	The baby is laughing and toddling	SEMEVAL	SEMEVAL	TEST
4628	De baby lacht en kruipt niet	De baby lacht en kruipt	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	The baby is not laughing and crawling	The baby is laughing and crawling	SEMEVAL	SEMEVAL	TEST
4629	Een man speelt viool	De baby lacht en kuiert	NEUTRAL	1.1	A_neutral_B	B_neutral_A	A man is playing a violin	The baby is laughing and toddling	SEMEVAL	SEMEVAL	TEST
4630	Een man speelt viool	De baby lacht en kruipt niet	NEUTRAL	1	A_neutral_B	B_neutral_A	A man is playing a violin	The baby is not laughing and crawling	SEMEVAL	SEMEVAL	TRAIN
4631	De baby lacht en kruipt	Een viool wordt bespeeld door een man	NEUTRAL	1	A_neutral_B	B_neutral_A	The baby is laughing and crawling	A violin is being played by a man	SEMEVAL	SEMEVAL	TEST
4632	Er is geen man die viool speelt	De baby lacht en kruipt	NEUTRAL	1.1	A_neutral_B	B_neutral_A	There is no man playing a violin	The baby is laughing and crawling	SEMEVAL	SEMEVAL	TRAIN
4633	Een man speelt viool	De baby lacht en kruipt	NEUTRAL	1.1	A_neutral_B	B_neutral_A	A man is playing a violin	The baby is laughing and crawling	SEMEVAL	SEMEVAL	TRAIN
4634	Een man speelt een harp	Een harp wordt bespeeld door een man	ENTAILMENT	4.9	A_entails_B	B_entails_A	A man is playing a harp	A harp is being played by a man	SEMEVAL	SEMEVAL	TRAIN
4635	Er is geen man die op een harp speelt	Een man speelt een harp	CONTRADICTION	3.7	A_contradicts_B	B_contradicts_A	There is no man playing a harp	A man is playing a harp	SEMEVAL	SEMEVAL	TRAIN
4636	Een keyboard wordt bespeeld door een man	Een man speelt op een keyboard	ENTAILMENT	5	A_entails_B	B_entails_A	A keyboard is being played by a man	A man is playing a keyboard	SEMEVAL	SEMEVAL	TRAIN
4638	Een keyboard wordt bespeeld door een man	Een man speelt een harp	NEUTRAL	2.4	A_neutral_B	B_neutral_A	A keyboard is being played by a man	A man is playing a harp	SEMEVAL	SEMEVAL	TRIAL
4639	Er is geen man die op een keyboard speelt	Een man speelt een harp	NEUTRAL	2.8	A_neutral_B	B_neutral_A	There is no man playing a keyboard	A man is playing a harp	SEMEVAL	SEMEVAL	TEST
4640	Een harp wordt bespeeld door een man	Een man speelt op een keyboard	NEUTRAL	3.1	A_neutral_B	B_neutral_A	A harp is being played by a man	A man is playing a keyboard	SEMEVAL	SEMEVAL	TEST
4641	Een man speelt op een keyboard	Er is geen man die op een harp speelt	NEUTRAL	3.3	A_neutral_B	B_neutral_A	A man is playing a keyboard	There is no man playing a harp	SEMEVAL	SEMEVAL	TEST
4642	Een man speelt een harp	Een man speelt op een keyboard	NEUTRAL	3.2	A_neutral_B	B_contradicts_A	A man is playing a harp	A man is playing a keyboard	SEMEVAL	SEMEVAL	TEST
4643	Een man snijdt een koord door met een zwaard	Een man snijdt een touw door met een zwaard	ENTAILMENT	4.5	A_entails_B	B_entails_A	A man is cutting a cord with a sword	A man is cutting a rope with a sword	SEMEVAL	SEMEVAL	TRAIN
4644	Er is geen man die een touw doorsnijdt met een zwaard	Een man snijdt een touw door met een zwaard	CONTRADICTION	2.5	A_contradicts_B	B_contradicts_A	There is no man cutting a rope with a sword	A man is cutting a rope with a sword	SEMEVAL	SEMEVAL	TRAIN
4645	Een man snijdt een groot touw door met een zwaard	Een man snijdt een dik touw door met een zwaard	NEUTRAL	4.3	A_neutral_B	B_neutral_A	A man is cutting a big rope with a sword	A man is cutting a thick rope with a sword	SEMEVAL	SEMEVAL	TEST
4646	Een man bindt een dik touw vast	Een man snijdt een dik touw door met een zwaard	NEUTRAL	2.92	A_neutral_B	B_neutral_A	A man is tying a thick rope	A man is cutting a thick rope with a sword	SEMEVAL	SEMEVAL	TRAIN
4647	Een man snijdt een groot touw door met een zwaard	Een man snijdt een touw door met een zwaard	ENTAILMENT	4.7	A_entails_B	B_neutral_A	A man is cutting a big rope with a sword	A man is cutting a rope with a sword	SEMEVAL	SEMEVAL	TEST
4648	Een man snijdt een touw door met een zwaard	Een man bindt een dik touw vast	NEUTRAL	3.3	A_neutral_B	B_neutral_A	A man is cutting a rope with a sword	A man is tying a thick rope	SEMEVAL	SEMEVAL	TRAIN
4649	Een man snijdt een dik touw door met een zwaard	Een man snijdt een koord door met een zwaard	ENTAILMENT	4.5	A_entails_B	B_neutral_A	A man is cutting a thick rope with a sword	A man is cutting a cord with a sword	SEMEVAL	SEMEVAL	TEST
4650	Een man snijdt een dik touw door met een zwaard	Er is geen man die een touw doorsnijdt met een zwaard	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	A man is cutting a thick rope with a sword	There is no man cutting a rope with a sword	SEMEVAL	SEMEVAL	TRIAL
4651	Een man snijdt een dik touw door met een zwaard	Een man snijdt een touw door met een zwaard	ENTAILMENT	4.6	A_entails_B	B_neutral_A	A man is cutting a thick rope with a sword	A man is cutting a rope with a sword	SEMEVAL	SEMEVAL	TRAIN
4652	Een man verwijdert de schil van een ui	Een man is een ui aan het schillen	ENTAILMENT	4.8	A_entails_B	B_entails_A	A man is removing the peel of an onion	A man is peeling an onion	SEMEVAL	SEMEVAL	TRAIN
4653	Er is geen man die een ui schilt	Een man is een ui aan het schillen	CONTRADICTION	3.4	A_contradicts_B	B_contradicts_A	There is no man peeling an onion	A man is peeling an onion	SEMEVAL	SEMEVAL	TRAIN
4654	Een man loopt langs een pad door een wildernis	Een man loopt langs een spoor door een wildernis	ENTAILMENT	4.6	A_entails_B	B_entails_A	A man is walking along a path through a wilderness	A man is walking along a track through a wilderness	SEMEVAL	SEMEVAL	TEST
4655	Er is geen man die langs een pad door een wildernis loopt	Een man loopt langs een pad door een wildernis	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	There is no man walking along a path through a wilderness	A man is walking along a path through a wilderness	SEMEVAL	SEMEVAL	TEST
4656	Een man loopt langs een spoor door een wildernis	Een man is een ui aan het schillen	NEUTRAL	1.1	A_neutral_B	B_neutral_A	A man is walking along a track through a wilderness	A man is peeling an onion	SEMEVAL	SEMEVAL	TRAIN
4657	Er is geen man die langs een pad door een wildernis loopt	Een man is een ui aan het schillen	NEUTRAL	1	A_neutral_B	B_neutral_A	There is no man walking along a path through a wilderness	A man is peeling an onion	SEMEVAL	SEMEVAL	TEST
4658	Een man verwijdert de schil van een ui	Een man loopt langs een pad door een wildernis	NEUTRAL	1.1	A_neutral_B	B_neutral_A	A man is removing the peel of an onion	A man is walking along a path through a wilderness	SEMEVAL	SEMEVAL	TEST
4659	Een man loopt langs een pad door een wildernis	Er is geen man die een ui schilt	NEUTRAL	1.1	A_neutral_B	B_neutral_A	A man is walking along a path through a wilderness	There is no man peeling an onion	SEMEVAL	SEMEVAL	TRAIN
4660	Een man is een ui aan het schillen	Een man loopt langs een pad door een wildernis	NEUTRAL	1	A_neutral_B	B_neutral_A	A man is peeling an onion	A man is walking along a path through a wilderness	SEMEVAL	SEMEVAL	TRAIN
4661	Een vrouw snijdt een aardappel in schijfjes	Een vrouw snijdt een aardappel	ENTAILMENT	4.8	A_entails_B	B_entails_A	A woman is slicing a potato	A woman is cutting a potato	SEMEVAL	SEMEVAL	TRIAL
4662	Er is geen vrouw die een aardappel snijdt	Een vrouw snijdt een aardappel	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	There is no woman cutting a potato	A woman is cutting a potato	SEMEVAL	SEMEVAL	TRAIN
4663	Een ui wordt in schijfjes gesneden door een vrouw	Een vrouw is een ui in schijfjes aan het snijden	ENTAILMENT	4.9	A_entails_B	B_entails_A	An onion is being sliced by a woman	A woman is slicing an onion	SEMEVAL	SEMEVAL	TRAIN
4664	Er is geen vrouw die een ui in schijfjes snijdt	Een vrouw is een ui in schijfjes aan het snijden	CONTRADICTION	4.3	A_contradicts_B	B_contradicts_A	There is no woman slicing an onion	A woman is slicing an onion	SEMEVAL	SEMEVAL	TRAIN
4665	Een vrouw snijdt een aardappel	Een ui wordt in schijfjes gesneden door een vrouw	NEUTRAL	3.2	A_neutral_B	B_neutral_A	A woman is cutting a potato	An onion is being sliced by a woman	SEMEVAL	SEMEVAL	TRAIN
4666	Een vrouw snijdt een aardappel	Er is geen vrouw die een ui in schijfjes snijdt	NEUTRAL	2.7	A_neutral_B	B_neutral_A	A woman is cutting a potato	There is no woman slicing an onion	SEMEVAL	SEMEVAL	TRAIN
4667	Een vrouw is een ui in schijfjes aan het snijden	Een vrouw snijdt een aardappel in schijfjes	NEUTRAL	2.9	A_neutral_B	B_neutral_A	A woman is slicing an onion	A woman is slicing a potato	SEMEVAL	SEMEVAL	TEST
4668	Een vrouw is een ui in schijfjes aan het snijden	Er is geen vrouw die een aardappel snijdt	NEUTRAL	2.4	A_neutral_B	B_neutral_A	A woman is slicing an onion	There is no woman cutting a potato	SEMEVAL	SEMEVAL	TRAIN
4669	Een vrouw is een ui in schijfjes aan het snijden	Een vrouw snijdt een aardappel	NEUTRAL	2.7	A_contradicts_B	B_neutral_A	A woman is slicing an onion	A woman is cutting a potato	SEMEVAL	SEMEVAL	TRAIN
4670	Een man snijdt een gat in een stuk hout	Een man boort een gat in een stuk hout	NEUTRAL	4	A_neutral_B	B_neutral_A	A man is carving a hole in a piece of wood	A man is drilling a hole in a piece of wood	SEMEVAL	SEMEVAL	TEST
4671	Een man boort een gat in een stuk hout	Een man sluit een gat in een stuk hout	CONTRADICTION	3.7	A_contradicts_B	B_contradicts_A	A man is drilling a hole in a piece of wood	A man is closing a hole in a piece of wood	SEMEVAL	SEMEVAL	TRAIN
4672	Een man boort een gat in een stuk hout	Een man boort een gat met een stuk hout	NEUTRAL	3.8	A_neutral_B	B_neutral_A	A man is drilling a hole in a piece of wood	A man is drilling a hole with a piece of wood	SEMEVAL	SEMEVAL	TEST
4673	Iemand boort een gat in een strook hout met een boormachine	Iemand maakt een gat in een strook hout met een boor	ENTAILMENT	4.5	A_entails_B	B_neutral_A	Someone is drilling a hole in a strip of wood with a power drill	Someone is making a hole in a strip of wood with a drill	SEMEVAL	SEMEVAL	TRAIN
4674	Niemand boort een gat in een strook hout met een boormachine	Iemand boort een gat in een strook hout met een boormachine	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	Nobody is drilling a hole in a strip of wood with a power drill	Someone is drilling a hole in a strip of wood with a power drill	SEMEVAL	SEMEVAL	TRAIN
4675	Een man boort een gat in een stuk hout	Iemand maakt een gat in een strook hout met een boor	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A man is drilling a hole in a piece of wood	Someone is making a hole in a strip of wood with a drill	SEMEVAL	SEMEVAL	TEST
4676	Niemand boort een gat in een strook hout met een boormachine	Een man boort een gat in een stuk hout	NEUTRAL	3.8	A_contradicts_B	B_neutral_A	Nobody is drilling a hole in a strip of wood with a power drill	A man is drilling a hole in a piece of wood	SEMEVAL	SEMEVAL	TEST
4677	Een man snijdt een gat in een stuk hout	Iemand boort een gat in een strook hout met een boormachine	NEUTRAL	3.8	A_neutral_B	B_neutral_A	A man is carving a hole in a piece of wood	Someone is drilling a hole in a strip of wood with a power drill	SEMEVAL	SEMEVAL	TEST
4678	Iemand boort een gat in een strook hout met een boormachine	Een man sluit een gat in een stuk hout	NEUTRAL	3	A_neutral_B	B_neutral_A	Someone is drilling a hole in a strip of wood with a power drill	A man is closing a hole in a piece of wood	SEMEVAL	SEMEVAL	TEST
4679	Een man boort een gat met een stuk hout	Iemand boort een gat in een strook hout met een boormachine	NEUTRAL	3.7	A_neutral_B	B_neutral_A	A man is drilling a hole with a piece of wood	Someone is drilling a hole in a strip of wood with a power drill	SEMEVAL	SEMEVAL	TRAIN
4680	Iemand boort een gat in een strook hout met een boormachine	Een man boort een gat in een stuk hout	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Someone is drilling a hole in a strip of wood with a power drill	A man is drilling a hole in a piece of wood	SEMEVAL	SEMEVAL	TRAIN
4682	Een vrouw snijdt geen ui in schijfjes	Een vrouw is een ui in schijfjes aan het snijden	CONTRADICTION	3.1	A_contradicts_B	B_contradicts_A	A woman is not slicing an onion	A woman is slicing an onion	SEMEVAL	SEMEVAL	TEST
4683	Een vrouw is knoflook in schijfjes aan het snijden	Een vrouw snijdt knoflook	ENTAILMENT	4.9	A_entails_B	B_entails_A	A woman is slicing garlic	A woman is cutting garlic	SEMEVAL	SEMEVAL	TRAIN
4684	Een vrouw is knoflook in schijfjes aan het snijden	Een vrouw snijdt geen knoflook in schijfjes	CONTRADICTION	3.5	A_contradicts_B	B_contradicts_A	A woman is slicing garlic	A woman is not slicing garlic	SEMEVAL	SEMEVAL	TEST
4685	Een vrouw snijdt knoflook	Een vrouw is een ui in schijfjes aan het snijden	NEUTRAL	2.9	A_neutral_B	B_neutral_A	A woman is cutting garlic	A woman is slicing an onion	SEMEVAL	SEMEVAL	TRAIN
4686	Een vrouw snijdt geen knoflook in schijfjes	Een vrouw is een ui in schijfjes aan het snijden	NEUTRAL	3.5	A_neutral_B	B_neutral_A	A woman is not slicing garlic	A woman is slicing an onion	SEMEVAL	SEMEVAL	TRAIN
4687	Een vrouw is knoflook in schijfjes aan het snijden	Een vrouw snijdt een ui	NEUTRAL	3	A_neutral_B	B_neutral_A	A woman is slicing garlic	A woman is cutting an onion	SEMEVAL	SEMEVAL	TRAIN
4688	Een vrouw is knoflook in schijfjes aan het snijden	Een vrouw snijdt geen ui in schijfjes	NEUTRAL	3.4	A_neutral_B	B_neutral_A	A woman is slicing garlic	A woman is not slicing an onion	SEMEVAL	SEMEVAL	TRAIN
4689	Een vrouw is een ui in schijfjes aan het snijden	Een vrouw is knoflook in schijfjes aan het snijden	NEUTRAL	3.2	A_contradicts_B	B_neutral_A	A woman is slicing an onion	A woman is slicing garlic	SEMEVAL	SEMEVAL	TRAIN
4690	Een man houdt een klein dier in één hand	Een man houdt een dier, dat klein is, in één hand	ENTAILMENT	4.8	A_entails_B	B_entails_A	A man is holding a small animal in one hand	A man is holding an animal, which is small, in one hand	SEMEVAL	SEMEVAL	TEST
4691	Een man houdt een klein dier in één hand	Een man houdt een groot dier in één hand	NEUTRAL	4	A_neutral_B	B_neutral_A	A man is holding a small animal in one hand	A man is holding a big animal in one hand	SEMEVAL	SEMEVAL	TEST
4692	Een man pronkt met een kleine aap	Een man stelt een kleine aap tentoon	ENTAILMENT	4.6	A_entails_B	B_entails_A	A man is showing off a small monkey	A man is exhibiting a small monkey	SEMEVAL	SEMEVAL	TEST
4693	Een man verbergt een kleine aap	Een man pronkt met een kleine aap	NEUTRAL	3.465	A_neutral_B	B_neutral_A	A man is hiding a small monkey	A man is showing off a small monkey	SEMEVAL	SEMEVAL	TEST
4694	Een man houdt een klein dier in één hand	Een man stelt een kleine aap tentoon	NEUTRAL	3.665	A_neutral_B	B_neutral_A	A man is holding a small animal in one hand	A man is exhibiting a small monkey	SEMEVAL	SEMEVAL	TEST
4695	Een man houdt een klein dier in één hand	Een man verbergt een kleine aap	NEUTRAL	3.7	A_neutral_B	B_neutral_A	A man is holding a small animal in one hand	A man is hiding a small monkey	SEMEVAL	SEMEVAL	TEST
4696	Een man pronkt met een kleine aap	Een man houdt een dier, dat klein is, in één hand	ENTAILMENT	4.2	A_entails_B	B_neutral_A	A man is showing off a small monkey	A man is holding an animal, which is small, in one hand	SEMEVAL	SEMEVAL	TRAIN
4697	Een man pronkt met een kleine aap	Een man houdt een groot dier in één hand	NEUTRAL	2.9	A_neutral_B	B_neutral_A	A man is showing off a small monkey	A man is holding a big animal in one hand	SEMEVAL	SEMEVAL	TRAIN
4698	Een man houdt een klein dier in één hand	Een man pronkt met een kleine aap	NEUTRAL	3.7	A_neutral_B	B_neutral_A	A man is holding a small animal in one hand	A man is showing off a small monkey	SEMEVAL	SEMEVAL	TEST
4699	Een groep jongens speelt voetbal op de kust	Een groep jongens voetbalt op het strand	ENTAILMENT	4.7	A_entails_B	B_neutral_A	A group of boys is playing soccer on the seashore	A group of boys is playing soccer on the beach	SEMEVAL	SEMEVAL	TRAIN
4700	Een groep jongens speelt geen voetbal op het strand	Een groep jongens voetbalt op het strand	CONTRADICTION	3.5	A_contradicts_B	B_contradicts_A	A group of boys is not playing soccer on the beach	A group of boys is playing soccer on the beach	SEMEVAL	SEMEVAL	TRAIN
4701	Een groep mannen voetbalt op het strand	Een groep mannen speelt met een bal op het strand	ENTAILMENT	4.2	A_entails_B	B_neutral_A	A group of men is playing soccer on the beach	A group of men is playing with a ball on the beach	SEMEVAL	SEMEVAL	TRAIN
4702	Een groep vrouwen speelt met een bal op het strand	Een groep mannen voetbalt op het strand	NEUTRAL	3.1	A_neutral_B	B_neutral_A	A group of women is playing with a ball on the beach	A group of men is playing soccer on the beach	SEMEVAL	SEMEVAL	TRAIN
4703	Een groep jongens voetbalt op het strand	Een groep mannen speelt met een bal op het strand	NEUTRAL	3.8	A_neutral_B	B_neutral_A	A group of boys is playing soccer on the beach	A group of men is playing with a ball on the beach	SEMEVAL	SEMEVAL	TEST
4704	Een groep vrouwen speelt met een bal op het strand	Een groep jongens voetbalt op het strand	NEUTRAL	3.3	A_neutral_B	B_neutral_A	A group of women is playing with a ball on the beach	A group of boys is playing soccer on the beach	SEMEVAL	SEMEVAL	TEST
4705	Een groep mannen voetbalt op het strand	Een groep jongens speelt voetbal op de kust	NEUTRAL	4	A_neutral_B	B_neutral_A	A group of men is playing soccer on the beach	A group of boys is playing soccer on the seashore	SEMEVAL	SEMEVAL	TEST
4706	Een groep mannen voetbalt op het strand	Een groep jongens speelt geen voetbal op het strand	NEUTRAL	3.2	A_neutral_B	B_neutral_A	A group of men is playing soccer on the beach	A group of boys is not playing soccer on the beach	SEMEVAL	SEMEVAL	TEST
4707	Een groep mannen voetbalt op het strand	Een groep jongens voetbalt op het strand	NEUTRAL	4.4	A_neutral_B	B_neutral_A	A group of men is playing soccer on the beach	A group of boys is playing soccer on the beach	SEMEVAL	SEMEVAL	TRIAL
4708	Een man snijdt stukken boter in een mengkom	Een man voegt stukken boter toe aan een mengkom	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A man is cutting pieces of butter into a mixing bowl	A man is adding pieces of butter to a mixing bowl	SEMEVAL	SEMEVAL	TEST
4709	Een man snijdt stukken boter in een mengkom	Er is geen man die stukken boter in een mengkom snijdt	CONTRADICTION	3	A_contradicts_B	B_contradicts_A	A man is cutting pieces of butter into a mixing bowl	There is no man cutting pieces of butter into a mixing bowl	SEMEVAL	SEMEVAL	TEST
4710	Enkele stukjes boter worden aan de keukenmixer toegevoegd	Stukken boter worden toegevoegd aan de keukenmixer	ENTAILMENT	4.7	A_entails_B	B_entails_A	Some pieces of butter are being added to the stand mixer	Pieces of butter are being added to the stand mixer	SEMEVAL	SEMEVAL	TRAIN
4711	Er wordt geen boter aan de standmixer toegevoegd	Stukken boter worden toegevoegd aan de keukenmixer	CONTRADICTION	4	A_contradicts_B	B_contradicts_A	There is no butter being added to the stand mixer	Pieces of butter are being added to the stand mixer	SEMEVAL	SEMEVAL	TRAIN
4712	Enkele stukjes boter worden aan de keukenmixer toegevoegd	Een man snijdt stukken boter in een mengkom	NEUTRAL	3.6	A_neutral_B	B_neutral_A	Some pieces of butter are being added to the stand mixer	A man is cutting pieces of butter into a mixing bowl	SEMEVAL	SEMEVAL	TRAIN
4713	Een man snijdt stukken boter in een mengkom	Er wordt geen boter aan de standmixer toegevoegd	NEUTRAL	4	A_neutral_B	B_neutral_A	A man is cutting pieces of butter into a mixing bowl	There is no butter being added to the stand mixer	SEMEVAL	SEMEVAL	TRAIN
4714	Een man voegt stukken boter toe aan een mengkom	Stukken boter worden toegevoegd aan de keukenmixer	NEUTRAL	3.9	A_neutral_B	B_neutral_A	A man is adding pieces of butter to a mixing bowl	Pieces of butter are being added to the stand mixer	SEMEVAL	SEMEVAL	TEST
4715	Stukken boter worden toegevoegd aan de keukenmixer	Er is geen man die stukken boter in een mengkom snijdt	NEUTRAL	3.4	A_neutral_B	B_neutral_A	Pieces of butter are being added to the stand mixer	There is no man cutting pieces of butter into a mixing bowl	SEMEVAL	SEMEVAL	TEST
4716	Een man snijdt stukken boter in een mengkom	Stukken boter worden toegevoegd aan de keukenmixer	ENTAILMENT	4	A_entails_B	B_neutral_A	A man is cutting pieces of butter into a mixing bowl	Pieces of butter are being added to the stand mixer	SEMEVAL	SEMEVAL	TRAIN
4717	Een aap schopt een persoon	Iemand wordt door een aap geschopt	ENTAILMENT	4.9	A_entails_B	B_entails_A	A monkey is kicking a person	A person is being kicked by a monkey	SEMEVAL	SEMEVAL	TRAIN
4718	Er is geen aap die een persoon schopt	Een aap schopt een persoon	CONTRADICTION	4.3	A_contradicts_B	B_contradicts_A	There is no monkey kicking a person	A monkey is kicking a person	SEMEVAL	SEMEVAL	TRAIN
4719	Een persoon schopt een aap	Een aap schopt een persoon	NEUTRAL	3	A_neutral_B	B_neutral_A	A person is kicking a monkey	A monkey is kicking a person	SEMEVAL	SEMEVAL	TEST
4720	Een aap beoefent vechtsporten	Een chimpansee beoefent vechtsporten	ENTAILMENT	4.5	A_entails_B	B_entails_A	A monkey is practicing martial arts	A chimp is practicing martial arts	SEMEVAL	SEMEVAL	TRAIN
4721	Een aap beoefent vechtsporten	Er is geen aap die vechtsporten beoefent	CONTRADICTION	3.9	A_contradicts_B	B_contradicts_A	A monkey is practicing martial arts	There is no monkey practicing martial arts	SEMEVAL	SEMEVAL	TEST
4722	Een chimpansee beoefent vechtsporten	Een aap schopt een persoon	NEUTRAL	2.85	A_neutral_B	B_neutral_A	A chimp is practicing martial arts	A monkey is kicking a person	SEMEVAL	SEMEVAL	TEST
4723	Er is geen aap die vechtsporten beoefent	Een aap schopt een persoon	NEUTRAL	3.5	A_contradicts_B	B_neutral_A	There is no monkey practicing martial arts	A monkey is kicking a person	SEMEVAL	SEMEVAL	TEST
4724	Iemand wordt door een aap geschopt	Een aap beoefent vechtsporten	NEUTRAL	3.3	A_neutral_B	B_neutral_A	A person is being kicked by a monkey	A monkey is practicing martial arts	SEMEVAL	SEMEVAL	TRAIN
4725	Een aap beoefent vechtsporten	Er is geen aap die een persoon schopt	NEUTRAL	2.9	A_neutral_B	B_contradicts_A	A monkey is practicing martial arts	There is no monkey kicking a person	SEMEVAL	SEMEVAL	TRAIN
4726	Een aap beoefent vechtsporten	Een persoon schopt een aap	NEUTRAL	2.7	A_neutral_B	B_neutral_A	A monkey is practicing martial arts	A person is kicking a monkey	SEMEVAL	SEMEVAL	TEST
4727	Een aap schopt een persoon	Een aap beoefent vechtsporten	NEUTRAL	3.2	A_neutral_B	B_neutral_A	A monkey is kicking a person	A monkey is practicing martial arts	SEMEVAL	SEMEVAL	TEST
4728	Een man maakt een geluiddemper aan een geweer vast	Een man brengt een geluiddemper aan op een pistool	ENTAILMENT	4.485	A_entails_B	B_entails_A	A man is fixing a silencer to a gun	A man is applying a silencer to a gun	SEMEVAL	SEMEVAL	TRAIN
4729	Er is geen man die een geluiddemper aan een pistool vastmaakt	Een man maakt een geluiddemper aan een geweer vast	CONTRADICTION	4	A_contradicts_B	B_contradicts_A	There is no man fixing a silencer to a gun	A man is fixing a silencer to a gun	SEMEVAL	SEMEVAL	TRAIN
4730	Een man zet een geluiddemper op een pistool	Een man zet een geluiddemper op een wapen	ENTAILMENT	4.6	A_entails_B	B_entails_A	A man is fitting a silencer to a pistol	A man is fitting a silencer to a weapon	SEMEVAL	SEMEVAL	TEST
4731	Een man zet een geluiddemper op een pistool	Er is geen man die een geluiddemper op een pistool past	CONTRADICTION	3.4	A_contradicts_B	B_contradicts_A	A man is fitting a silencer to a pistol	There is no man fitting a silencer to a pistol	SEMEVAL	SEMEVAL	TRAIN
4732	Een man maakt een geluiddemper aan een geweer vast	Een man zet een geluiddemper op een wapen	ENTAILMENT	4.8	A_entails_B	B_neutral_A	A man is fixing a silencer to a gun	A man is fitting a silencer to a weapon	SEMEVAL	SEMEVAL	TEST
4733	Er is geen man die een geluiddemper op een pistool past	Een man maakt een geluiddemper aan een geweer vast	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	There is no man fitting a silencer to a pistol	A man is fixing a silencer to a gun	SEMEVAL	SEMEVAL	TEST
